"","year","GEOID","NAME","popE","popM"
"1","2020","48001","Anderson County, Texas",49745,3781
"2","2020","48005","Angelina County, Texas",53021,2044
"3","2020","48007","Aransas County, Texas",53964,5008
"4","2020","48011","Armstrong County, Texas",73304,13282
"5","2020","48013","Atascosa County, Texas",59178,4015
"6","2020","48017","Bailey County, Texas",54268,34545
"7","2020","48019","Bandera County, Texas",60373,4380
"8","2020","48023","Baylor County, Texas",41875,7958
"9","2020","48025","Bee County, Texas",43448,5650
"10","2020","48029","Bexar County, Texas",60533,668
"11","2020","48031","Blanco County, Texas",70958,6109
"12","2020","48035","Bosque County, Texas",57343,3412
"13","2020","48039","Brazoria County, Texas",81557,2498
"14","2020","48041","Brazos County, Texas",54114,1925
"15","2020","48045","Briscoe County, Texas",40781,9130
"16","2020","48047","Brooks County, Texas",27337,3982
"17","2020","48051","Burleson County, Texas",69350,5086
"18","2020","48053","Burnet County, Texas",62034,3947
"19","2020","48057","Calhoun County, Texas",57617,5178
"20","2020","48059","Callahan County, Texas",52293,4472
"21","2020","48063","Camp County, Texas",56672,6714
"22","2020","48065","Carson County, Texas",74774,4661
"23","2020","48069","Castro County, Texas",51563,6511
"24","2020","48071","Chambers County, Texas",100786,10822
"25","2020","48075","Childress County, Texas",44601,13177
"26","2020","48077","Clay County, Texas",61440,6497
"27","2020","48081","Coke County, Texas",45505,7029
"28","2020","48083","Coleman County, Texas",45788,3328
"29","2020","48087","Collingsworth County, Texas",56204,5836
"30","2020","48089","Colorado County, Texas",55893,4507
"31","2020","48091","Comal County, Texas",81780,2738
"32","2020","48093","Comanche County, Texas",54709,4036
"33","2020","48095","Concho County, Texas",55195,6281
"34","2020","48097","Cooke County, Texas",64853,4189
"35","2020","48099","Coryell County, Texas",55965,2240
"36","2020","48101","Cottle County, Texas",44205,12882
"37","2020","48103","Crane County, Texas",71190,24944
"38","2020","48105","Crockett County, Texas",52868,17762
"39","2020","48107","Crosby County, Texas",45885,4648
"40","2020","48109","Culberson County, Texas",35833,12157
"41","2020","48111","Dallam County, Texas",62342,4599
"42","2020","48113","Dallas County, Texas",69379,818
"43","2020","48115","Dawson County, Texas",46091,4196
"44","2020","48117","Deaf Smith County, Texas",52802,3961
"45","2020","48119","Delta County, Texas",51272,12668
"46","2020","48121","Denton County, Texas",94562,1936
"47","2020","48123","DeWitt County, Texas",58400,4737
"48","2020","48125","Dickens County, Texas",46579,6869
"49","2020","48127","Dimmit County, Texas",31518,15893
"50","2020","48129","Donley County, Texas",53603,6959
"51","2020","48131","Duval County, Texas",45495,7191
"52","2020","48135","Ector County, Texas",65885,2312
"53","2020","48137","Edwards County, Texas",40643,7115
"54","2020","48141","El Paso County, Texas",50430,1043
"55","2020","48143","Erath County, Texas",55649,5202
"56","2020","48147","Fannin County, Texas",59479,3458
"57","2020","48149","Fayette County, Texas",64917,3889
"58","2020","48153","Floyd County, Texas",54155,2522
"59","2020","48155","Foard County, Texas",42841,13046
"60","2020","48159","Franklin County, Texas",60902,4788
"61","2020","48161","Freestone County, Texas",61368,4851
"62","2020","48165","Gaines County, Texas",65402,8934
"63","2020","48169","Garza County, Texas",60785,15104
"64","2020","48171","Gillespie County, Texas",60961,5155
"65","2020","48175","Goliad County, Texas",58175,12718
